,,,,,,821,,,,,,,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,Sheer Force,Tough Claws,Technician,Reckless,Iron Fist,Mega Launcher,Mega Launcher [Playtest],Punk Rock,Strong Jaw,Reckless [Playtest]
Attack Order,,,9,EOT,2,"6, 1 Target",Attack Order is a Critical Hit on 18+.,Smart - Incentives,Physical,Bug,,,,,,,,,,
Bug Bite,,,6,At-Will,2,"Melee, 1 Target","If the target has a stored Digestion/Food Buff or has traded in a Digestion/Food Buff this Scene, the user may gain the effects of the Digestion/Food Buff. This does no count towards the Usual limit on the user's Digestion/Food Buffs.",Tough - Attention Grabber,Physical,Bug,,o,o,,,,,,o,
Bug Buzz,,,9,Scene x2,2,"Cone 2 or Close Blast 2; Sonic, Smite",Bug Buzz lowers the Special Defense of all legal targets by -1 CS on 19+.,Cute - Incentives,Special,Bug,o,,,,,,,o,,
Defend Order,,,--,EOT,--,Self,Raise the user's Defense and Special Defense by +1 CS each.,Smart - Get Ready!,Status,Bug,,,,,,,,,,
Fell Stinger,,,3,At-Will,2,"Melee, 1 Target","If the user successfully knocks out the target with Fell Stinger, raise the user's Attack by +2 CS.",Smart - Desperation,Physical,Bug,,o,o,,,,,,,
Fell Stinger [SM],,,5,At-Will,2,"Melee, 1 Target","If the user successfully knocks out the target with Fell Stinger, raise the user's Attack by +2 CS.",Smart - Desperation,Physical,Bug,,o,o,,,,,,,
First Impression,,,9,EOT,2,"Melee, 1 Target, Priority","You may only use First Impression with Priority upon joining an encounter; if you do, First Impression Flinches the target. Switching out resets the requirement of joining an encounter. .",--,Physical,Bug,,o,,,,,,,,
Fury Cutter,,,4,At-Will,3,"Melee, 1 Target","If Fury Cutter is used successfully and consecutively on the same target, the Damage Base is increased by +4; the first hit has a DB of 4; the second hit a DB of 8, the third hit a DB of 12, and the fourth and all further hits have a DB of 16. If Fury Cutter misses or fails to damage its target, its Damage Base resets.",Cool - Reliable,Physical,Bug,,o,o,,,,,,,
Heal Order,,,--,Daily x2,--,Self,The user regains HP equal to half of its full HP.,Smart - Reflective Appeal,Status,Bug,,,,,,,,,,
Infestation,,,4,Scene x2,4,"3, 1 Target",The target is put in a Vortex.,Smart - Gamble,Special,Bug,,,o,,,,,,,
Leech Life,,,2,At-Will,2,"Melee, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",Smart - Good Show!,Physical,Bug,,o,o,,,,,,,
Leech Life [SM],,,8,Scene x2,2,"Melee, 1 Target","After the target takes damage, the user gains HP equal to half of the damage they dealt to the target.",Smart - Good Show!,Physical,Bug,,o,,,,,,,,
Lunge,,,8,EOT,2,"Melee, 1 Target","Lunge may be used as a Free Action at the end of a Sprint Maneuver taken as a Standard Action, as long as the user Shifted at least 3 meters in a straight line towards the target. When used this way, Lunge's target receives a -5 penalty to damage rolls for 1 round.",--,Physical,Bug,,o,,,,,,,,
Megahorn,,,12,Scene x2,5,"Melee, 1 Target, Push",The target is Pushed 1 meter.,Cool - Desperation,Physical,Bug,,o,,,,,,,,
Pin Missile,,,3,EOT,4,"6, 1 Target, Five Strike",--,Cool - Reliable,Physical,Bug,,,o,,,,,,,
Pollen Puff,,,9,EOT,2,"6, 1 Target","Once per Scene, Pollen Puff may instead be used on an ally; when used this way, the target recovers 1/2 of their maximum Hit Points and the Move has the Healing keyword.",--,Special,Bug,,,,,,,,,,
Powder,,,--,Scene x2,--,"6, 1 Target, Interrupt, Powder","The target is dusted with a Coat of flammable powder. If the affected target uses a damaging Fire-Type attack, the attack is negated and instead creates a Blast 3 centered on itself as the powder explodes, and the Coat is removed. All legal targets within the Blast take damage equal to what the user of the Fire-Type attack would roll for the damage of their attack. This damage is Typeless or Fire-Type, whichever would be more effective.",Beauty - Sabotage,Status,Bug,,,,,,,,,,
Quiver Dance,,,--,Scene x2,--,Self,"Raise the user's Special Attack, Special Defense, and Speed by +1 CS each.",Cool - Get Ready!,Status,Bug,,,,,,,,,,
Rage Powder,,,--,Scene x2,--,Burst 1 or Line 6; Powder,"All legal targets hit by Rage Powder are Enraged. While enraged, they must shift to target the user when using a Move or Attack if the user is within reach. If the user is Fainted or Switched out, all legal targets hit by Rage Powder are no longer Enraged.",Smart - Tease,Status,Bug,,,,,,,,,,
Signal Beam,,,8,EOT,2,"6, 1 Target",Signal Beam Confuses the target on 19+.,Beauty - Incentives,Special,Bug,o,,,,,,,,,
Skitter Smack,,,7,EOT,2,"Melee, 1 Target, Dash, Full Action","The user Shifts up to its Overland Capability, ignoring Attacks of Opportunity, before attacking with Skitter Smack. On a hit, the target’s Special Attack is lowered 1 CS.",Smart - Reliable,Physical,Bug,,o,,,,,,,,
Silver Wind,,,6,At-Will,2,"6, 1 Target, Spirit Surge",Silver Wind raises each of the user's stats by +1 CS on 19+.,Beauty - Incentives,Special,Bug,o,,o,,,,,,,
Spider Web,,,--,Scene x2,--,"5, 1 Target","Spider Web cannot miss. The target is Stuck and Trapped. If the target is freed of the Stuck condition, it is freed of Trapped as well. *Grants Threaded",Smart - Sabotage,Status,Bug,,,,,,,,,,
Steamroller,,,7,EOT,2,"Melee, Pass","Steamroller Flinches the target on 15+. If the target is Small, Steamroller deals an additional +5 Damage.",Tough - Steady Performance,Physical,Bug,o,o,,,,,,,,
Sticky Web,,,--,EOT,--,"6, Hazard","Set 8 square meters of Sticky Web hazards within your range such that all 8 meters are adjacent with at least one other space of Sticky Web. Sticky Web causes Terrain to become Slow Terrain, and a grounded foe that runs into the hazard has its Speed lowered by -1 CS and becomes Slowed until the end of their next turn. Flying-type Pokemon and Pokemon and Trainers with Levitate are not affected by Sticky Web. Bug-type Pokemon may move over Sticky Web harmlessly, destroying theHazards as they do so. *Grants Threaded",Smart - Sabotage,Status,Bug,,,,,,,,,,
String Shot,,,--,At-Will,3,Cone 2,"Lower the Speed of all legal targets by -1 CS. If this lowers their Speed CS to -6, or if their Speed CS was already at -6, they are instead Stuck. *Grants Threaded",Smart - Excitement,Status,Bug,,,,,,,,,,
Struggle Bug,,,5,At-Will,2,Cone 2,Lower the Special Attack of all legal targets by -1 CS.,Smart - Excitement,Special,Bug,,,o,,,,,,,
Tail Glow,,,--,Scene,--,Self,Raise the user’s Special Attack by +3 CS. *Grants Glow,Beauty - Get Ready!,Status,Bug,,,,,,,,,,
Twineedle,,,3,At-Will,3,"Melee, 1 Target, Doublestrike",Twineedle Poisons the target on 18+.,Cool - Reliable,Physical,Bug,o,o,o,,,,,,,
U-Turn,,,7,At-Will,2,"Melee, 1 Target, Dash",The user deals damage and then is immediately recalled to its Poké Ball in the same turn. A New Pokémon may immediately be sent out. Using U-Turn lets a Trapped user be recalled.,Cute - Inversed Appeal,Physical,Bug,,o,,,,,,,,
X-Scissor,,,8,At-Will,2,"Melee, 1 Target, Dash",--,Beauty - Exhausting Act,Physical,Bug,,o,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Assurance,,,6,At-Will,2,"Melee, 1 Target","If Assurance’s target has already been damaged by a Move on the same round Assurance is being used, Assurance has a Damage Base of 12 (3d12+10 / 30) instead. This effect may trigger only once per Scene per Target.",Beauty - Double Time,Physical,Dark,,o,o,,,,,,,
Beat Up,,,See Effect,EOT,--,"Melee, 1 Target","The user and up to two allies adjacent to the target may each make a Struggle Attack against the target. These Struggle Attacks hit for Dark-Type Damage instead of their usual Type. Beat Up may trigger Pack Hunt only once, no matter the number of attacks.",Smart - Reliable,Physical,Dark,,o,,,,,,,,
Bite,,,6,At-Will,2,"Melee, 1 Target",Bite Flinches the target on 15+.,Tough - Steady Performance,Physical,Dark,o,o,o,,,,,,o,
Brutal Swing,,,6,EOT,2,Burst 1,--,--,Physical,Dark,,,o,,,,,,,
Ceaseless Edge,,,7,Scene x2,4,"Melee, 1 Target","The target is put in a Vortex. Ceaseless Edge is a Critical Hit on a 19+.",Smart - Safe Option,Physical,Dark,,o,,,,,,,,
Crunch,,,8,EOT,2,"Melee, 1 Target",Crunch lowers the target’s Defense by -1 CS on 17+.,Tough - Exhausting Act,Physical,Dark,o,o,,,,,,,o,
Dark Pulse,,,8,EOT,2,"8, 1 Target, Aura",Dark Pulse Flinches the target on 17+.,Cool - Exhausting Act,Special,Dark,o,,,,,o,o,,,
Dark Void,,,--,EOT,4,"Melee, 1 Target","The target falls Asleep. Once per Scene, Dark Void may be used as if its range were “Burst 5, Friendly” instead.",Smart - Excitement,Status,Dark,,o,,,,,,,,
Dark Void [SM],,,--,EOT,10,"Melee, 1 Target","The target falls Asleep. Once per Scene, Dark Void may be used as if its range were “Burst 5, Friendly” instead.",Smart - Excitement,Status,Dark,,o,,,,,,,,
Darkest Lariat,,,9,EOT,2,"Melee, 1 Target",This Move ignores the target’s positive Defense Combat Stages and all Damage Reduction.,--,Physical,Dark,,o,,,,,,,,
Embargo,,,--,At-Will,2,"6, 1 Target","The target cannot use or benefit from held items for the remainder of the encounter. Embargo may only affect one target at a time; if Embargo is used on a new target, the previous target is freed from the effect.",Cute - Sabotage,Status,Dark,,,,,,,,,,
Fake Tears,,,--,EOT,2,"8, 1 Target, Social",Lower the target's Special Defense by -2 CS.,Smart - Excitement,Status,Dark,,,,,,,,,,
False Surrender,,,8,EOT,--,"Melee, 1 Target",False Surrender cannot Miss.,Smart - Reliable,Physical,Dark,,o,,,,,,,,
Feint Attack,,,6,EOT,--,"Melee, 1 Target",Feint Attack Cannot Miss.,Smart - Desperation,Physical,Dark,,o,o,,,,,,,
Fiery Wrath,,,9,EOT,2,"6, 1 Target",": Fiery Wrath Flinches the target on a 17+. Once per Scene, Fiery Wrath may instead be used as a Fire-Type Move.",Tough - Inverted Appeal,Special,Dark,o,,,,,,,,,
Flatter,,,--,At-Will,2,"6, 1 Target, Social",Raise the target's Special Attack by +1 CS. Flatter Confuses the target.,Smart - Excitement,Status,Dark,,,,,,,,,,
Fling,,,See Effect,Scene x2,2,"6, 1 Target, Fling","The user throws a held item, determining the effect of Fling.",Tough -  Catching Up,Physical,Dark,,,,,,,,,,
Foul Play,,,10,Scene x2,2,"Melee, 1 Target","The target reveals its Attack stat. When calculating damage, add the target's Attack stat instead of the user's Attack stat.",Smart - Steady Performance,Physical,Dark,,o,,,,,,,,
Hone Claws,,,--,At-Will,--,Self,Raise the user's Attack by +1 CS and Accuracy by +1.,Cool - Get Ready!,Status,Dark,,,,,,,,,,
Hyperspace Fury,,,10,Daily,2,Burst 2,Interrupts may not be triggered against Hyperspace Fury. The user's Defense is lowered by -1 Combat Stage.,--,Physical,Dark,,,,,,,,,,
Jaw Lock,,,8,Scene x2,2,"Melee, 1 Target",You may perform a Grapple Maneuver against the target as a Free Action.,Tough - Sabotage,Physical,Dark,,o,,,,,,,,
Knock Off,,,7,Scene,2,"Melee, 1 Target",Choose one of the target's Held Items or Accessory Slot Items. It is knocked to the ground.,Smart - Steady Performance,Physical,Dark,,o,,,,,,,,
Lash Out,,,8,EOT,2,"Melee, 1 Target"," If the user has lost CS from a source other than itself since the end of its last turn, Lash Out is instead DB 15 (4d10 + 20 / 45). Any given foe may be the target of this increased damage only once per Scene. ",Smart - Reliable,Physical,Dark,,o,,,,,,,,
Memento,,,--,Scene,--,"8, 1 Target, Trigger, Free Action",Memento may be used as a Free Action that does not consume a Command action when the user becomes Fainted. Lower each of the target's stats by -2 CS.,Tough - Big Show,Status,Dark,,,,,,,,,,
Nasty Plot,,,--,EOT,--,Self,Raise the user's Special Attack by +2 CS.,Cute - Get Ready!,Status,Dark,,,,,,,,,,
Night Daze,,,9,EOT,3,"4, 1 Target",Night Daze lowers the target's Accuracy by -1 on 13+.,Tough - Unsettling,Special,Dark,o,,,,,,,,,
Night Slash,,,7,EOT,2,"Melee, Pass",Night Slash is a Critical Hit on 18+.,Beauty - Steady Performance,Physical,Dark,,o,,,,,,,,
Obstruct,,,--,Scene,--,"Self, Interrupt, Shield, Trigger","If the user is hit by a Move, the user may use Obstruct. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move’s effects. In addition, if the triggering attack was Melee ranged, the attacker’s Defense is lowered by 2 Combat Stages.",Smart - Inversed Appeal,Status,Dark,,,,,,,,,,
Parting Shot,,,--,At-Will,2,"6, 1 Target, Social","If Parting Shot successfully hits, the target's Attack and Special Attack stats are lowered by one CS and the user is immediately recalled in the same turn. A new Pokemon may immediately be sent out. using Parting Shot lets a Trapped user be recalled.",Smart - Catching Up,Status,Dark,,,,,,,,,,
Payback,,,5,EOT,2,"Melee, 1 Target","If the target hit the user with a Damaging Move on the previous turn, Payback has a Damage Base of 10 (3d8+10 / 24) instead.",Cool -  Special Attention,Physical,Dark,,o,o,,,,,,,
Power Trip,,,2,EOT,2,"Melee, 1 Target","This Move gains +2 to its Damage Base for every positive Combat Stage held by the user, to a maximum of DB20.",--,Physical,Dark,,o,o,,,,,,,
Punishment,,,6,EOT,2,"Melee, 1 Target","Punishment's Damage Base is raised by +1 for each Combat Stage the target has, to a maximum of DB 12.",Smart -  Catching Up,Physical,Dark,,o,o,,,,,,,
Pursuit,,,4,At-Will,2,"Melee, 1 Target","If the foe is fleeing or being switched out, Pursuit may be used as an Interrupt, targeting the triggering foe. When used as an Interrupt, Pursuit grants the user a +5 bonus to all Movement Speeds, and has a Damage Base of 8 (2d8+10/19).",Smart -  Good Show!,Physical,Dark,,o,o,,,,,,,
Quash,,,--,At-Will,2,"10, 1 Target, Social",Change the target's Initiative to 0 for the remainder of the round.,Smart - Saving Grace,Status,Dark,,,,,,,,,,
Snarl,,,6,EOT,3,"Cone 2, Sonic",Lower the Special Attack of all legal targets by -1 CS.,Cute - Excitement,Special,Dark,,,o,,,,,o,,
Snatch,,,--,Scene x2,--,"6, 1 Target, Trigger, Interrupt","If the target uses a Self-Targeting Move, you may use Snatch as an Interrupt. You gain the benefits of the Self-Targeting Move instead of the target.",Smart - Attention Grabber,Status,Dark,,,,,,,,,,
Sucker Punch,,,8,At-Will,2,"Melee, 1 Target, Trigger, Interrupt","If an adjacent foe targets the user with a Damaging Attack, Sucker Punch may be used as an Interrupt Move against the triggering foe.",Smart - Saving Grace,Physical,Dark,,o,,,,,,,,
Sucker Punch [SM],,,7,At-Will,2,"Melee, 1 Target, Trigger, Interrupt","If an adjacent foe targets the user with a Damaging Attack, Sucker Punch may be used as an Interrupt Move against the triggering foe.",Smart - Saving Grace,Physical,Dark,,o,,,,,,,,
Switcheroo,,,--,At-Will,2,"Melee, 1 Target",The user and the target exchange held items.,Cool - Attention Grabber,Status,Dark,,o,,,,,,,,
Taunt,,,--,EOT,3,"6, 1 Target, Social",The target becomes Enraged.,Smart - Inversed Appeal,Status,Dark,,,,,,,,,,
Thief,,,6,At-Will,2,"Melee, 1 Target",Thief takes the target's held item and attaches it to Thief's user if the user is not holding anything.,Tough - Attention Grabber,Physical,Dark,,o,o,,,,,,,
Throat Chop,,,8,EOT,2,"Melee, 1 Target",The target cannot use Moves with the Sonic keyword for the next two turns.,--,Physical,Dark,,o,,,,,,,,
Topsy-Turvy,,,--,EOT,4,"6, 1 Target","The target’s Combat Stages are inverted; +1 Stage becomes -1 Stage, -3 Stages becomes +3 Stages, etc.",Smart - Unsettling,Status,Dark,,,,,,,,,,
Torment,,,--,Scene x2,2,"10, 1 Target, Social",The target becomes Suppressed.,Tough - Inversed Appeal,Status,Dark,,,,,,,,,,
Wicked Blow,,,8,EOT,2,"Melee, 1 Target, Push","If Wicked Blow hits, it is a Critical Hit. The target is Pushed 6 meters minus their Weight Class. On a roll of 15+, the target is also Tripped. ",Tough - Steady Performance,Physical,Dark,o,o,,,,,,,,
Name,Type,Category,Damage base,Frequency,AC,Range,Effects,Contest Stats,Category,Type,,,,,,,,,,
Breaking Swipe,,,6,EOT,2,Close Blast 2,The target’s Attack is lowered 1 CS.,Tough - Desperation,Physical,Dragon,,,,,,,,,,
Clanging Scales,,,11,Scene x2,2,"6, 1 Target or Burst 1, Sonic","The user adds half their Defense Stat to Clanging Scale's Damage Roll. After the Move is resolved, the user's Defense is lowered by 1 CS.",--,Special,Dragon,,,,,,,,o,,
Clangorous Soul,,,--,Scene,--,Self,The user loses 1/3rd of their Max Hit Points and has each of its stats raised by +1 Combat Stage.,Cool - Seen Nothing Yet,Status,Dragon,,,,,,,,,,
Core Enforcer,,,10,Daily x2,2,"6, Ranged Blast 3, Spirit Surge","Each Target has its Ability disabled until the end of the encounter. If a target has more than one Ability, you choose one of them to disable.",--,Special,Dragon,,,,,,,,,,
Draco Meteor,,,13,Scene,4,"8, Ranged Blast 3, Smite",Lower the user's Special Attack by -2 CS after damage.,Smart - Seen Nothing Yet,Special,Dragon,,,,,,,,,,o
Dragon Claw,,,8,At-Will,2,"Melee, 1 Target",--,Cool - Exhausting Act,Physical,Dragon,,o,,,,,,,,
Dragon Dance,,,--,EOT,--,Self,Raise the user’s Attack and Speed by +1 CS.,Cool - Get Ready!,Status,Dragon,,,,,,,,,,
Dragon Darts,,,5,EOT,2,"6, 1 Target, Double Strike; or 6, 2 Targets",--,Smart - Double TIme,Physical,Dragon,,,,,,,,,,
Dragon Energy,,,15,Daily x2,2,Cone 3 or Line 8,"For each 10% of HP the user is missing, Dragon Energy’s Damage Base is reduced by 1.",Cool - Seen Nothing Yet,Special,Dragon,,,,,,,,,,
Dragon Hammer,,,9,EOT,2,"Melee, 1 Target or Line 3",--,--,Physical,Dragon,,o,,,,,,,,
Dragon Pulse,,,9,EOT,2,"8, 1 Target, Aura",--,Smart - Incentives,Special,Dragon,,,,,,o,o,,,
Dragon Rage,,,15 Damage,At-Will,2,"4, 1 Target","Dragon Rage causes the target to lose 15 HP. Dragon Rage is Special and interacts with other moves and effects as such (Special Evasion may be applied to avoid it, Mirror Coat can reflect it, etc.).",Cool - Steady Performance,Special,Dragon,,,,,,,,,,
Dragon Rush,,,10,Scene x2,4,"Melee, 1 Target, Dash, Push, Smite",The target is Pushed 3 Meters. Dragon Rush Flinches the target on 17+.,Cool - Desperation,Physical,Dragon,o,o,,,,,,,,
Dragon Tail,,,6,At-Will,3,"Melee, 1 Target, Push",The target is Pushed 6 meters minus their Weight Class. The target is also Tripped on 15+.,Smart - Big Show,Physical,Dragon,o,o,o,,,,,,,
Dragon Breath,,,6,EOT,2,"6, 1 Target",Dragon Breath Paralyzes the target on 15+.,Cool - Exhausting Act,Special,Dragon,o,,o,,,,,,,
